69	"antihypertensives,_ace_inhibitors, thiazide_and_related_diuretics"
70	"antihyperlipidemic_-_hmg_coa_reductase_inhibitors, antihypertensives,_ace_inhibitors, calcium_channel_blocking_agents"
71	"antihyperglycemic,_biguanide_type, antihyperlipidemic_-_hmg_coa_reductase_inhibitors, antihypertensives,_angiotensin_receptor_antagonist, beta-adrenergic_blocking_agents"
72	"alpha/beta-adrenergic_blocking_agents, antihypertensives,_ace_inhibitors"
73	"angiotensin_receptor_antag.-thiazide_diuretic_comb, antihyperglycemic,_biguanide_type, antihyperlipidemic_-_hmg_coa_reductase_inhibitors, beta-adrenergic_blocking_agents"
74	"antihyperlipidemic_-_hmg_coa_reductase_inhibitors, antihypertensives,_angiotensin_receptor_antagonist, beta-adrenergic_blocking_agents, calcium_channel_blocking_agents"
75	"antihyperlipidemic_-_hmg_coa_reductase_inhibitors, antihypertensives,_ace_inhibitors, beta-adrenergic_blocking_agents, calcium_channel_blocking_agents"
76	"beta-blockers_and_thiazide,thiazide-like_diuretics"
77	"alpha/beta-adrenergic_blocking_agents, antihyperlipidemic_-_hmg_coa_reductase_inhibitors, antihypertensives,_angiotensin_receptor_antagonist"
78	"antihyperlipidemic_-_hmg_coa_reductase_inhibitors, antihypertensives,_ace_inhibitors, insulins"
79	"antihyperglycemic,dpp-4_inhibitor-biguanide_combs., antihyperlipidemic_-_hmg_coa_reductase_inhibitors, antihypertensives,_ace_inhibitors"
80	"antihyperglycemic,_biguanide_type, antihyperglycemic,_insulin-release_stimulant_type, antihyperlipidemic_-_hmg_coa_reductase_inhibitors, antihypertensives,_ace_inhibitors"
81	"antihyperglycemic,_dpp-4_inhibitors, antihyperglycemic,_insulin-release_stimulant_type"
82	"antihyperglycemic,_biguanide_type, thiazide_and_related_diuretics"
83	"antihyperglycemic,_biguanide_type, antihyperlipidemic_-_hmg_coa_reductase_inhibitors, antihypertensives,_ace_inhibitors, calcium_channel_blocking_agents"
84	"ace_inhibitor-thiazide_or_thiazide-like_diuretic, antihyperlipidemic_-_hmg_coa_reductase_inhibitors"
85	"beta-adrenergic_blocking_agents, thiazide_and_related_diuretics"
86	"angiotensin_receptor_antag.-thiazide_diuretic_comb, antihyperlipidemic_-_hmg_coa_reductase_inhibitors, calcium_channel_blocking_agents"
87	"beta-adrenergic_blocking_agents, insulins"
88	"calcium_channel_blocking_agents, insulins"
89	angiotensin_recept-neprilysin_inhibitor_comb(arni)
90	"antihyperglycemic,_insulin-release_stimulant_type, beta-adrenergic_blocking_agents"
91	"antihyperglycemc-sod/gluc_cotransport2(sglt2)inhib, antihyperglycemic,_biguanide_type"
92	"antihypertensives,_angiotensin_receptor_antagonist, insulins"
93	"antihyperglycemic,_biguanide_type, antihyperlipidemic_-_hmg_coa_reductase_inhibitors, calcium_channel_blocking_agents"
94	"alpha/beta-adrenergic_blocking_agents, calcium_channel_blocking_agents"
95	"antihyperglycemic,_insulin-release_stimulant_type, antihypertensives,_ace_inhibitors"
96	"antihyperglycemic,_biguanide_type, antihypertensives,_angiotensin_receptor_antagonist, calcium_channel_blocking_agents"
97	"antihypertensives,_ace_inhibitors, beta-adrenergic_blocking_agents, calcium_channel_blocking_agents"
98	"antihyperglycemic,_biguanide_type, antihyperglycemic,_insulin-release_stimulant_type, antihypertensives,_ace_inhibitors"
99	"antihyperglycemic,_insulin-release_stimulant_type, antihypertensives,_angiotensin_receptor_antagonist"
